meter_id,unit,tenant_name,reading,timestamp,month
Three/NEO-EM-28377053,14-1,Regus (ACCU),339412.0,2025-08-26 10:15:00,9.0
Three/NEO-EM-50017914,14-2,Regus (ACCU),297439.0,2025-08-26 10:15:00,9.0
Three/NEO-EM-47700729,15-1&2,Regus (Lighting & Power),41483.0,2025-08-26 09:54:00,9.0
Three/NEO-EM-50017869,15-1,Regus (ACCU),278848.0,2025-08-26 10:15:00,9.0
Three/NEO-EM-16871199,15-2,Regus (ACCU),188042.0,2025-08-26 10:15:00,9.0
Three/NEO-EM-47702529,16-1&2,Luxasia (Lighting & Power),24459.5,2025-08-26 09:21:00,9.0
Three/NEO-EM-97286820,16-1&2,Luxasia (ACCU),21553.3,2025-08-26 09:51:00,9.0
Three/NEO-EM-17759111,17-1&2,Tyler Technologies Philippines. (Lighting & Power),135978.0,2025-08-26 09:49:00,9.0
Three/NEO-EM-16871296,17-1,Tyler Technologies Philippines. (ACCU),84230.0,2025-08-26 09:15:00,9.0
Three/NEO-EM-28693827,17-2,Tyler Technologies Philippines.. (ACCU),139098.0,2025-08-26 09:16:00,9.0
Three/NEO-EM-17759101,18-1&2,Tyler Technologies Philippines. (Lighting & Power),266794.0,2025-08-26 09:45:00,9.0
Three/NEO-EM-14864259,18-1,Tyler Technologies Philippines. (ACCU),202572.0,2025-08-26 09:16:00,9.0
Three/NEO-EM-16872661,18-2,Tyler Technologies Philippines.. (ACCU),197840.0,2025-08-26 09:16:00,9.0
Three/NEO-EM-17759112,19-1&2,HC Consumer Finace Phillippines Inc. (Lighting & Power),226431.0,2025-08-26 09:43:00,9.0
Three/NEO-EM-15014197,19-1&2,QBE (Additional Plugin Breaker),34072.0,2025-08-26 09:43:00,9.0
Three/NEO-EM-28930910,19-1,HC Consumer Finace Phillippines Inc. (ACCU),89137.0,2025-08-26 09:17:00,9.0
Three/NEO-EM-16870425,19-2,HC Consumer Finace Phillippines Inc. (ACCU),247065.0,2025-08-26 09:17:00,9.0
Three/NEO-EM-10712524,20-1&2,Figari (Lighting & Power),155226.0,2025-08-26 09:41:00,9.0
Three/NEO-EM-23549655,20-1,Figari (ACCU),147035.0,2025-08-26 09:17:00,9.0
Three/NEO-EM-14864298,20-2,Figari (ACCU),191967.0,2025-08-26 09:18:00,9.0
Three/NEO-EM-21384862,21-1&2,Figari (Lighting & Power),584518.0,2025-08-26 09:38:00,9.0
Three/NEO-EM-28460987,21-1,Figari (ACCU),151618.0,2025-08-26 09:18:00,9.0
Three/NEO-EM-16871323,21-2,Figari (ACCU),138699.0,2025-08-26 09:18:00,9.0
Three/NEO-EM-16126238,22-1&2,QBE Group Shared Services Ltd. (Lighting Power),391829.0,2025-08-26 09:35:00,9.0
Three/NEO-EM-28286899,22-1,QBE Group Shared Services Ltd. (ACCU),298378.0,2025-08-26 09:19:00,9.0
Three/NEO-EM-08851930,22-2,QBE Group Shared Services Ltd. (ACCU),378364.0,2025-08-26 09:19:00,9.0
Three/NEO-EM-21393124,23-1&2,QBE Group Shared Services Ltd. (Lighting Power),234657.0,2025-08-26 09:29:00,9.0
Three/NEO-EM-16871325,23-1,QBE Group Shared Services Ltd. (ACCU),188753.0,2025-08-26 09:19:00,9.0
Three/NEO-EM-16871266,23-2,QBE Group Shared Services Ltd. (ACCU),357164.0,2025-08-26 09:20:00,9.0
Three/NEO-EM-59072030,24-1&2,QBE Group Shared Services Ltd. (Lighting Power),154848.0,2025-08-26 09:25:00,9.0
Three/NEO-EM-50017913,24-1,QBE Group Shared Services Ltd. (ACCU),284449.0,2025-08-26 09:20:00,9.0
Three/NEO-EM-14864297,24-2,QBE Group Shared Services Ltd. (ACCU),284796.0,2025-08-26 09:20:00,9.0
Three/NEO-EM-15024618,,QBE/Tyler Technologies Philippines./Acquire (Server Room ACCU),23203.0,2025-08-26 09:25:00,9.0
Three/NEO-EM-16871267,,QBE/Tyler Technologies Philippines./Acquire (Wall Mounted ACCU),61224.0,2025-08-26 09:15:00,9.0
Three/NEO-EM-85000291,Telco 2,"MDF Telco Room (Lighting, Equipment)",6201.0,2025-08-26 11:37:00,9.0
Three/NEO-EM-85000246, Telco 5 ,Telco room 5 (Lighting & Power),5045.0,2025-08-26 11:36:00,9.0
Three/NEO-EM-28922978,PPX,"Parking, Admin, Lobby",22819.0,2025-08-26 11:19:00,9.0
Three/NEO-EM-14969058,,CTC Feeder Pumps,2006.0,2025-08-26 11:22:00,9.0
Three/NEO-EM-14969079,,CTCFeeder Admin,19588.0,2025-08-26 11:20:00,9.0
Three/NEO-EM-08951809,,Elevator #1-6,3678.0,2025-08-26 11:19:00,9.0
Three/NEO-EM-09854296,,Spare Meter,5081.0,2025-08-26 11:17:00,9.0
Three/NEO-EM-85000249,,7th Floor Common Area (Lighting & Power),87899.0,2025-08-26 10:10:00,9.0
Three/NEO-EM-85000247,,8th Floor Common Area (Lighting & Power),77981.0,2025-08-26 10:08:00,9.0
Three/NEO-EM-85000248,,9th Floor Common Area (Lighting & Power),80677.0,2025-08-26 10:06:00,9.0
Three/NEO-EM-85000148,,10th Floor Common Area (Lighting & Power),81056.0,2025-08-26 10:03:00,9.0
Three/NEO-EM-85000225,,11th Floor Common Area (Lighting & Power),77210.0,2025-08-26 10:01:00,9.0
