Date,Consumption [kW],ECB 2301 150A [kW],ECB 2201 150A [kW],EBC 2401 150A [kW]
2025-07-30 12:00:00,0,"13,9","11,117","11,84"
2025-07-30 11:55:00,0,"15,466","10,909","11,87"
2025-07-30 11:50:00,0,"14,152","10,938","12,125"
2025-07-30 11:45:00,0,"13,882","12,414","11,675"
2025-07-30 11:40:00,0,"13,546","12,804","11,633"
2025-07-30 11:35:00,0,"13,29","12,1","11,645"
2025-07-30 11:30:00,0,"15,346",11,"11,768"
2025-07-30 11:25:00,0,"14,371","11,074","12,043"
2025-07-30 11:20:00,0,"12,872","11,245","11,656"
2025-07-30 11:15:00,0,"13,792","11,411","11,524"
2025-07-30 11:10:00,0,"13,607","11,524","11,302"
2025-07-30 11:05:00,0,"12,551","11,414","11,376"
2025-07-30 11:00:00,0,"11,044","11,262","11,213"
2025-07-30 10:55:00,0,"11,234","10,907","11,401"
2025-07-30 10:50:00,0,"11,384","11,034","11,586"
2025-07-30 10:45:00,0,"10,47","11,772","11,815"
2025-07-30 10:40:00,0,"10,727","12,07","11,824"
2025-07-30 10:35:00,0,"10,874","11,196","11,562"
2025-07-30 10:30:00,0,"10,776","10,978","11,952"
2025-07-30 10:25:00,0,"10,751","11,449","11,939"
2025-07-30 10:20:00,0,"10,212","10,712","11,761"
2025-07-30 10:15:00,0,"10,574","10,471","11,789"
2025-07-30 10:10:00,0,"10,368","10,812","11,809"
2025-07-30 10:05:00,0,"9,95","11,192","11,71"
2025-07-30 10:00:00,0,"10,112","11,351","11,374"
2025-07-30 09:55:00,0,"9,863","11,29","11,188"
2025-07-30 09:50:00,0,"10,356","12,16","11,992"
2025-07-30 09:45:00,0,"10,92","11,876","11,093"
2025-07-30 09:40:00,0,"10,951","11,01","11,222"
2025-07-30 09:35:00,0,"10,57","10,517","11,364"
2025-07-30 09:30:00,0,"10,544","11,263","11,268"
2025-07-30 09:25:00,0,"10,48","10,854","10,74"
2025-07-30 09:20:00,0,"10,578","11,333","10,654"
2025-07-30 09:15:00,0,"11,125","11,37","10,968"
2025-07-30 09:10:00,0,"10,84","11,106","10,87"
2025-07-30 09:05:00,0,"10,596","10,897","11,028"
2025-07-30 09:00:00,0,"10,963","10,691","11,135"
2025-07-30 08:55:00,0,"11,538","11,066","11,054"
2025-07-30 08:50:00,0,"10,969","11,855","11,645"
2025-07-30 08:45:00,0,"11,659","10,582","10,519"
2025-07-30 08:40:00,0,"11,081","10,514","10,795"
2025-07-30 08:35:00,0,"10,643","10,998","10,937"
2025-07-30 08:30:00,0,"10,624","10,98","10,513"
2025-07-30 08:25:00,0,"10,932","10,562","10,374"
2025-07-30 08:20:00,0,"10,819","11,078","10,558"
2025-07-30 08:15:00,0,"10,876","10,91","10,204"
2025-07-30 08:10:00,0,"10,747","10,758","9,962"
2025-07-30 08:05:00,0,"10,553","11,072","9,763"
2025-07-30 08:00:00,0,"10,775","11,292","9,556"
2025-07-30 07:55:00,0,"10,559","10,702","9,294"
2025-07-30 07:50:00,0,"10,304","11,82","9,709"
2025-07-30 07:45:00,0,"10,246","10,466","9,738"
2025-07-30 07:40:00,0,"11,023","10,445","9,547"
2025-07-30 07:35:00,0,"10,721","10,219","9,323"
2025-07-30 07:30:00,0,"13,427","10,19","9,296"
2025-07-30 07:25:00,0,"13,231","10,872","9,384"
2025-07-30 07:20:00,0,"13,344","11,429","9,623"
2025-07-30 07:15:00,0,"13,238","10,535","10,19"
2025-07-30 07:10:00,0,"13,214","10,248","10,366"
2025-07-30 07:05:00,0,"13,732","10,705","10,091"
2025-07-30 07:00:00,0,"13,213","10,348","9,582"
2025-07-30 06:55:00,0,"11,752","11,402","9,179"
2025-07-30 06:50:00,0,"12,272","11,096","9,223"
2025-07-30 06:45:00,0,"10,884","11,696","9,624"
2025-07-30 06:40:00,0,"10,999","10,436","10,138"
2025-07-30 06:35:00,0,"11,501","10,124","9,266"
2025-07-30 06:30:00,0,"10,975","10,003","9,212"
2025-07-30 06:25:00,0,"12,848","10,441","9,46"
2025-07-30 06:20:00,0,"13,229","10,123","9,05"
2025-07-30 06:15:00,0,"13,596","10,088","9,1"
2025-07-30 06:10:00,0,"13,362","9,977","8,532"
2025-07-30 06:05:00,0,"13,418","10,174","8,527"
2025-07-30 06:00:00,0,"11,029","10,278","8,478"
2025-07-30 05:55:00,0,"11,15","11,984","8,675"
2025-07-30 05:50:00,0,"10,89","10,645","8,699"
2025-07-30 05:45:00,0,"10,408","10,693","8,752"
2025-07-30 05:40:00,0,"10,129","10,594","8,623"
2025-07-30 05:35:00,0,"10,025","10,715","8,754"
2025-07-30 05:30:00,0,"10,7","10,582","9,084"
2025-07-30 05:25:00,0,"10,478","10,981","8,602"
2025-07-30 05:20:00,0,"10,298","10,45","8,792"
2025-07-30 05:15:00,0,"10,246","10,229","8,957"
2025-07-30 05:10:00,0,"10,584","10,518","8,702"
2025-07-30 05:05:00,0,"10,992","10,289","8,616"
2025-07-30 05:00:00,0,"13,505","10,841","8,666"
2025-07-30 04:55:00,0,"12,726","11,354","8,708"
2025-07-30 04:50:00,0,"13,067","10,362","8,668"
2025-07-30 04:45:00,0,"14,154","10,234","8,759"
2025-07-30 04:40:00,0,"13,524","10,198","8,615"
2025-07-30 04:35:00,0,"13,08","10,292","8,632"
2025-07-30 04:30:00,0,"11,384","10,538","8,749"
2025-07-30 04:25:00,0,"10,572","10,646","8,704"
2025-07-30 04:20:00,0,"10,864","10,408","8,746"
2025-07-30 04:15:00,0,"10,506","10,512","8,903"
2025-07-30 04:10:00,0,"10,524","10,266","8,84"
2025-07-30 04:05:00,0,"10,649","10,352","8,891"
2025-07-30 04:00:00,0,"10,582","11,362","8,63"
2025-07-30 03:55:00,0,"10,2","10,415","8,616"
2025-07-30 03:50:00,0,"10,242","10,346","8,537"
2025-07-30 03:45:00,0,"10,292","10,723","8,695"
2025-07-30 03:40:00,0,"10,252","10,543","8,537"
2025-07-30 03:35:00,0,"10,274","10,261","8,9"
2025-07-30 03:30:00,0,"10,514","10,224","8,836"
2025-07-30 03:25:00,0,"10,166","10,208","9,386"
2025-07-30 03:20:00,0,"10,41","10,405","8,803"
2025-07-30 03:15:00,0,"10,672","10,268","8,71"
2025-07-30 03:10:00,0,"10,84","10,346","8,638"
2025-07-30 03:05:00,0,"10,481","11,587","8,669"
2025-07-30 03:00:00,0,"10,536","10,612","8,845"
2025-07-30 02:55:00,0,"10,457","10,164","8,658"
2025-07-30 02:50:00,0,"10,302","10,256","8,8"
2025-07-30 02:45:00,0,"10,238","10,222","8,669"
2025-07-30 02:40:00,0,"10,272","10,159","9,036"
2025-07-30 02:35:00,0,"10,504","10,121","8,932"
2025-07-30 02:30:00,0,"10,75","10,207","8,61"
2025-07-30 02:25:00,0,"10,525","10,351","8,472"
2025-07-30 02:20:00,0,"10,663","10,24","8,599"
2025-07-30 02:15:00,0,"10,439","10,432","8,876"
2025-07-30 02:10:00,0,"10,315","10,324","9,091"
2025-07-30 02:05:00,0,"10,362","11,256","8,784"
2025-07-30 02:00:00,0,"10,691","10,142","8,794"
2025-07-30 01:55:00,0,"10,567","10,453","8,832"
2025-07-30 01:50:00,0,"10,457","10,168","9,113"
2025-07-30 01:45:00,0,"10,806","10,284","8,908"
2025-07-30 01:40:00,0,"10,496","10,602","8,998"
2025-07-30 01:35:00,0,"10,696","11,183","8,828"
2025-07-30 01:30:00,0,"11,051","11,92","8,878"
2025-07-30 01:25:00,0,"10,148","10,567","8,942"
2025-07-30 01:20:00,0,"10,276","10,464","8,99"
2025-07-30 01:15:00,0,"11,216","10,709","8,722"
2025-07-30 01:10:00,0,"11,012",12,"8,68"
2025-07-30 01:05:00,0,"10,868","10,982","9,126"
2025-07-30 01:00:00,0,"10,506","10,66","9,354"
2025-07-30 00:55:00,0,"10,639","10,861","9,211"
2025-07-30 00:50:00,0,"10,555","11,058","9,284"
2025-07-30 00:45:00,0,"10,219","10,595","9,3"
2025-07-30 00:40:00,0,"10,717","10,68","9,138"
2025-07-30 00:35:00,0,"10,633","10,846","9,218"
2025-07-30 00:30:00,0,"10,265","10,628","9,302"
2025-07-30 00:25:00,0,"10,799","10,601","9,294"
2025-07-30 00:20:00,0,"10,891","10,728","9,628"
2025-07-30 00:15:00,0,"10,752","10,874","9,314"
2025-07-30 00:10:00,0,"10,975","11,726","9,218"
2025-07-30 00:05:00,0,"10,219","10,816","9,148"
2025-07-30 00:00:00,0,"10,363","10,759","9,15"
2025-07-29 23:55:00,0,"10,468","11,353","9,074"
2025-07-29 23:50:00,0,"10,657","10,716","9,199"
2025-07-29 23:45:00,0,"10,818","10,602","9,131"
2025-07-29 23:40:00,0,"10,801","10,702","9,109"
2025-07-29 23:35:00,0,"10,373","10,73","8,857"
2025-07-29 23:30:00,0,"10,343","10,848","8,892"
2025-07-29 23:25:00,0,"10,732","10,794","9,061"
2025-07-29 23:20:00,0,"11,32","10,66","9,115"
2025-07-29 23:15:00,0,"11,338","10,952","9,08"
2025-07-29 23:10:00,0,"10,956","11,216","9,114"
2025-07-29 23:05:00,0,"11,083","10,678","9,03"
2025-07-29 23:00:00,0,"11,53","10,621","9,15"
2025-07-29 22:55:00,0,"11,384","10,692","9,434"
2025-07-29 22:50:00,0,"11,36","10,982","9,206"
2025-07-29 22:45:00,0,"10,813","10,722","9,229"
2025-07-29 22:40:00,0,"10,756","11,05","9,322"
2025-07-29 22:35:00,0,"10,739","10,806","10,114"
2025-07-29 22:30:00,0,"11,069","10,919","9,314"
2025-07-29 22:25:00,0,"11,717","10,799","9,173"
2025-07-29 22:20:00,0,"11,837","10,733","9,112"
2025-07-29 22:15:00,0,"11,338","11,761","9,121"
2025-07-29 22:10:00,0,"10,894","10,879","9,197"
2025-07-29 22:05:00,0,"10,873","10,862","9,51"
2025-07-29 22:00:00,0,"11,255","10,795","9,26"
2025-07-29 21:55:00,0,"11,45","11,129","10,2"
2025-07-29 21:50:00,0,"11,416","10,979","9,251"
2025-07-29 21:45:00,0,"11,095","10,747","9,563"
2025-07-29 21:40:00,0,"11,237","10,722","9,097"
2025-07-29 21:35:00,0,"11,839","10,898","9,07"
2025-07-29 21:30:00,0,"11,588","11,016","9,208"
2025-07-29 21:25:00,0,"11,26","10,732","9,575"
2025-07-29 21:20:00,0,"10,99","10,88","9,288"
2025-07-29 21:15:00,0,"11,149","12,301","9,578"
2025-07-29 21:10:00,0,"11,494","11,25","9,696"
2025-07-29 21:05:00,0,"11,426","11,112","9,672"
2025-07-29 21:00:00,0,"10,776","11,484","9,824"
2025-07-29 20:55:00,0,"10,74","11,014","9,262"
2025-07-29 20:50:00,0,"10,852","10,616","9,096"
