Date,Consumption [kW],ECB 1801 150A [kW],ECB 1901 [kW]
2025-07-30 11:50:00,0,"11,363","15,725"
2025-07-30 11:45:00,0,"10,709","13,262"
2025-07-30 11:40:00,0,"11,027","13,616"
2025-07-30 11:35:00,0,"10,706","15,721"
2025-07-30 11:30:00,0,"10,811","16,355"
2025-07-30 11:25:00,0,"10,711","14,102"
2025-07-30 11:20:00,0,"10,903","14,761"
2025-07-30 11:15:00,0,"11,002","17,768"
2025-07-30 11:10:00,0,"11,128","15,547"
2025-07-30 11:05:00,0,"10,928","13,556"
2025-07-30 11:00:00,0,"10,686","13,513"
2025-07-30 10:55:00,0,"11,066","17,056"
2025-07-30 10:50:00,0,"10,762","15,583"
2025-07-30 10:45:00,0,"10,679","13,705"
2025-07-30 10:40:00,0,"10,735","14,449"
2025-07-30 10:35:00,0,"10,56","16,488"
2025-07-30 10:30:00,0,"10,53","13,678"
2025-07-30 10:25:00,0,"10,663","13,403"
2025-07-30 10:20:00,0,"11,036","14,498"
2025-07-30 10:15:00,0,"10,339","16,41"
2025-07-30 10:10:00,0,"10,337","13,291"
2025-07-30 10:05:00,0,"10,378","12,971"
2025-07-30 10:00:00,0,"10,536","14,298"
2025-07-30 09:55:00,0,"10,387","15,906"
2025-07-30 09:50:00,0,"10,331","12,792"
2025-07-30 09:45:00,0,"10,206","12,642"
2025-07-30 09:40:00,0,"10,252","13,151"
2025-07-30 09:35:00,0,"10,146","14,918"
2025-07-30 09:30:00,0,"10,198","14,555"
2025-07-30 09:25:00,0,"10,252","14,502"
2025-07-30 09:20:00,0,"10,236","12,274"
2025-07-30 09:15:00,0,"10,038","11,88"
2025-07-30 09:10:00,0,"10,044","12,626"
2025-07-30 09:05:00,0,"10,07","14,185"
2025-07-30 09:00:00,0,"10,086","11,86"
2025-07-30 08:55:00,0,"10,177","11,288"
2025-07-30 08:50:00,0,"10,183","12,824"
2025-07-30 08:45:00,0,"10,201","13,655"
2025-07-30 08:40:00,0,"10,24","11,179"
2025-07-30 08:35:00,0,"11,592","10,74"
2025-07-30 08:30:00,0,"10,664","12,692"
2025-07-30 08:25:00,0,"10,338","12,385"
2025-07-30 08:20:00,0,"10,261","9,974"
2025-07-30 08:15:00,0,"10,38","9,691"
2025-07-30 08:10:00,0,"10,049","12,41"
2025-07-30 08:05:00,0,"10,018","11,429"
2025-07-30 08:00:00,0,"10,012","9,986"
2025-07-30 07:55:00,0,"9,994","9,87"
2025-07-30 07:50:00,0,"10,052","12,535"
2025-07-30 07:45:00,0,"10,082","10,328"
2025-07-30 07:40:00,0,"10,05","9,812"
